N131,N132,N211,N212,N221,N222,N231,N232,N311,N312,N321,N322,L,N131,N132,N211,N212,N221,N222,N231
7,28,12,42,30,24,6,28,6,42,30,28,8,28,6,28,12,28,16,1
6,60,20,84,30,60,20,64,12,84,30,64,12,60,20,60,20,62,30,1
5,18,18,42,24,24,18,14,18,42,24,14,18,24,22,18,18,24,22,1
5,22,50,42,30,32,20,20,50,42,30,20,30,32,20,22,30,22,50,1
5,18,14,24,30,12,14,20,20,24,30,22,14,22,20,18,14,20,32,1
7,24,20,26,30,24,8,42,8,26,30,34,8,32,8,24,8,40,24,1
6,12,30,30,30,12,30,6,62,30,30,8,40,12,30,12,30,18,30,1
5,20,22,30,42,20,30,20,24,30,42,20,24,20,30,20,22,32,30,1
6,14,20,30,30,4,12,6,20,30,30,6,20,4,20,14,20,30,38,1
6,18,12,24,30,14,12,20,12,24,30,14,12,16,12,18,12,26,24,1
6,6,18,40,30,6,18,10,14,40,30,6,14,8,18,6,18,10,18,1
6,18,14,24,42,16,6,14,12,24,42,14,6,30,6,18,14,22,18,1
6,22,12,30,20,14,2,22,24,30,20,22,8,18,2,18,8,22,18,1
6,24,18,42,24,12,18,16,30,42,24,18,14,20,18,24,18,36,24,1
6,8,26,30,32,4,14,12,14,30,32,10,14,14,22,8,26,18,26,1
6,14,18,30,24,4,18,6,26,30,24,4,14,4,14,14,18,24,22,1
6,16,14,32,30,12,12,8,14,32,30,10,14,16,12,16,14,16,16,1
6,20,26,42,32,20,14,20,14,42,32,22,14,20,30,20,26,28,26,1
6,14,30,30,30,4,14,6,30,30,30,6,14,4,28,14,30,22,30,1
6,12,18,42,24,8,18,8,18,42,24,8,18,12,32,12,18,22,20,1
7,14,4,30,20,10,6,10,6,30,20,10,10,10,12,14,4,20,26,1
6,20,30,30,30,20,14,8,32,30,30,8,30,20,14,20,30,22,30,1
