U1,N1,N2,N111,N112,N121,N122,N131,N132,N141,N142,N211,N212,N221,N222,N231,N232,N241,N242,L
8,6,10,18,18,10,4,20,6,18,18,20,4,12,8,6,10,26,16,1
9,10,8,22,26,6,8,8,8,22,26,6,8,6,6,10,8,14,22,1
9,8,10,30,18,4,8,6,8,30,18,10,8,8,14,8,8,12,18,1
10,2,6,10,26,0,6,6,10,10,26,2,6,0,10,2,6,18,10,1
8,8,10,18,36,2,8,4,6,18,36,0,8,0,12,8,10,16,20,1
9,4,10,12,22,2,6,2,6,12,22,6,12,8,6,4,10,14,16,1
8,6,6,26,18,4,4,4,10,26,18,4,6,4,4,6,6,16,18,1
9,6,10,20,10,2,0,12,0,20,10,8,6,8,2,6,2,16,24,1
8,6,14,18,62,4,6,2,6,18,62,0,18,4,16,4,14,12,14,1
8,12,8,52,22,10,8,10,6,52,22,10,12,10,10,12,8,12,18,1
8,8,14,18,22,10,6,6,6,18,22,8,6,10,12,8,6,20,14,1
9,8,10,12,20,4,2,4,10,12,20,12,2,8,6,4,10,18,24,1
8,6,30,14,62,8,30,2,30,14,62,2,30,8,30,4,30,12,30,1
7,8,52,30,68,6,26,6,70,30,68,8,74,8,26,8,52,16,56,1
9,6,12,26,40,6,12,4,12,26,40,10,20,6,12,6,12,18,20,1
9,8,10,22,18,10,4,18,6,22,18,22,6,8,10,8,10,16,14,1
8,2,14,10,20,4,10,6,10,10,20,0,6,10,8,2,12,24,28,1
10,8,0,14,20,6,0,6,2,14,20,4,6,4,6,8,0,18,10,1
9,6,6,22,40,8,6,8,10,22,40,10,14,12,2,6,6,20,12,1
9,10,6,22,18,6,4,8,8,22,18,4,6,6,2,10,6,26,26,1
9,12,10,20,26,2,4,12,8,20,26,14,8,2,4,12,10,18,20,1
7,8,32,20,42,6,34,2,32,20,42,2,50,8,36,6,32,20,32,1
8,16,6,62,26,16,6,16,4,62,26,16,6,16,8,16,6,16,14,1
9,8,10,18,14,16,6,14,12,18,14,14,10,22,12,6,6,22,26,1
8,14,6,22,14,12,4,14,4,22,14,14,4,30,4,8,4,20,24,1
8,6,30,16,74,6,14,6,18,16,74,6,12,10,18,6,30,14,30,1
7,4,12,22,74,6,12,12,10,22,74,8,12,14,12,4,12,10,12,1
9,8,4,22,26,8,4,10,4,22,26,12,4,10,12,8,4,16,14,1
7,4,72,10,126,4,68,8,68,10,126,10,72,6,72,4,72,16,72,1
7,4,10,12,52,6,6,10,8,12,52,10,6,6,10,2,10,14,10,1
9,12,6,20,10,8,8,6,6,20,10,12,6,14,20,12,6,12,26,1
7,8,22,24,74,8,18,2,20,24,74,2,22,12,22,8,22,20,22,1
