U1,N1,N2,N111,N112,N121,N122,N131,N132,N141,N142,N211,N212,N221,N222,N231,N232,N241,N242,L
8,8,28,22,62,4,14,18,20,22,62,16,12,2,28,8,28,18,28,1
8,6,6,22,20,8,4,2,12,22,20,2,8,10,4,6,6,14,30,1
7,16,8,84,8,8,2,8,2,84,8,12,2,12,6,16,8,16,16,1
6,14,2,26,10,12,2,22,4,26,10,34,2,12,22,14,2,18,14,1
7,6,10,26,22,4,10,4,10,26,22,6,10,8,10,6,10,18,26,1
7,14,8,30,10,8,4,12,6,30,10,2,12,8,6,12,4,18,14,1
7,8,26,12,74,6,26,10,26,12,74,8,26,10,26,4,26,16,26,1
8,30,8,62,12,20,4,20,6,62,12,20,6,20,10,30,6,30,16,1
8,4,14,32,26,4,2,6,16,32,26,10,18,4,6,4,14,6,42,1
9,8,10,20,18,4,8,12,8,20,18,16,4,6,18,8,8,16,24,1
8,12,12,30,14,10,6,8,12,30,14,8,16,16,10,12,12,20,28,1
8,16,10,32,26,2,4,6,6,32,26,12,8,6,8,12,10,24,12,1
9,6,8,18,20,4,12,4,14,18,20,4,12,6,8,6,8,24,30,1
8,4,10,12,24,8,6,16,10,12,24,10,6,12,6,4,10,26,18,1
9,4,8,24,12,12,2,6,8,24,12,4,14,16,6,4,4,14,16,1
7,8,30,20,74,4,30,8,30,20,74,8,30,6,30,8,30,18,30,1
7,10,38,40,68,8,28,14,26,40,68,14,10,14,20,10,38,14,40,1
7,8,26,18,26,6,26,8,34,18,26,10,34,8,26,8,26,18,26,1
8,6,10,28,10,6,36,8,8,28,10,10,8,10,56,6,6,18,10,1
8,14,6,62,20,12,4,12,16,62,20,12,16,12,2,14,6,14,18,1
8,8,14,22,62,2,14,10,14,22,62,4,14,4,14,8,14,16,14,1
7,60,8,126,18,40,6,48,10,126,18,56,8,56,12,60,6,60,14,1
9,10,6,20,16,14,6,10,6,20,16,16,2,14,12,10,6,18,16,1
7,8,10,14,32,10,10,24,10,14,32,20,8,16,20,8,10,18,16,1
9,10,8,26,14,8,4,10,6,26,14,8,6,8,8,10,4,22,24,1
10,2,10,20,14,12,14,2,10,20,14,2,10,6,16,2,10,12,20,1
7,24,4,62,18,16,8,16,6,62,18,20,6,20,10,24,4,24,10,1
7,28,4,74,18,14,4,18,4,74,18,18,6,20,10,28,4,28,10,1
7,22,8,52,20,14,4,12,22,52,20,20,22,20,4,22,8,22,18,1
9,10,8,22,26,6,8,8,14,22,26,8,14,8,10,10,8,20,10,1
7,20,2,84,8,16,6,18,2,84,8,16,0,18,6,20,2,20,14,1
8,10,12,12,12,6,8,6,12,12,12,4,4,10,2,6,12,22,30,1
7,8,54,20,110,16,18,14,44,20,110,6,14,20,14,8,54,22,60,1
8,16,8,52,22,8,6,8,4,52,22,8,10,10,8,16,8,16,14,1
7,8,14,40,22,8,20,16,8,40,22,16,16,12,28,8,12,12,24,1
7,28,8,62,20,28,10,28,12,62,20,28,14,28,8,28,8,28,18,1
8,30,8,62,18,12,4,20,4,62,18,18,4,22,10,30,8,30,14,1
7,4,22,18,22,0,12,4,30,18,22,4,54,6,20,4,22,12,32,1
8,10,12,22,30,4,10,6,12,22,30,6,16,4,12,10,12,18,16,1
9,8,8,22,26,6,4,8,8,22,26,10,10,10,6,8,8,26,22,1
8,8,14,18,20,6,8,6,16,18,20,2,14,6,8,8,8,20,24,1
10,6,2,18,12,6,2,6,0,18,12,6,10,8,8,6,2,26,14,1
10,4,8,14,26,14,6,6,8,14,26,8,8,16,8,2,8,16,14,1
7,8,18,20,52,8,16,4,16,20,52,4,16,14,18,8,18,16,18,1
7,16,8,62,20,10,6,10,14,62,20,10,10,10,6,16,8,16,16,1
8,2,16,14,52,4,6,6,8,14,52,8,10,4,12,2,16,22,16,1
9,6,4,24,20,6,6,4,16,24,20,6,18,8,16,6,4,14,12,1
9,6,6,16,16,2,2,8,4,16,16,10,6,6,2,6,6,6,12,1
8,20,8,62,20,14,10,18,8,62,20,12,4,14,10,20,8,20,18,1
7,52,6,60,22,30,4,38,10,60,22,62,8,42,4,52,6,52,10,1
7,72,8,126,22,72,8,72,4,126,22,72,8,72,10,72,8,72,16,1
9,10,4,18,14,8,4,10,10,18,14,8,6,8,4,10,4,18,24,1
7,8,16,12,14,6,6,8,24,12,14,10,62,8,6,6,14,18,16,1
8,6,26,14,62,4,18,4,20,14,62,4,18,10,18,4,26,14,26,1
7,30,6,14,26,10,6,34,2,14,26,14,4,18,8,14,4,30,24,1
8,6,8,14,22,6,4,8,6,14,22,10,10,14,10,4,8,20,24,1
7,14,8,22,12,6,6,8,6,22,12,22,16,8,8,10,6,22,14,1
9,10,4,26,14,8,14,6,4,26,14,8,2,8,16,10,4,26,14,1
6,30,10,42,30,44,4,24,8,42,30,24,8,46,6,30,6,30,18,1
7,8,28,20,26,12,26,8,42,20,26,8,34,12,26,6,26,18,28,1
7,24,8,20,14,20,10,58,8,20,14,48,8,24,8,20,6,26,14,1
7,14,8,74,16,10,6,14,6,74,16,14,8,14,8,14,6,14,22,1
7,4,28,26,62,4,28,4,28,26,62,4,28,4,28,4,28,14,28,1
7,32,8,62,22,16,14,16,18,62,22,16,16,16,4,32,8,32,18,1
7,6,30,14,40,8,20,8,12,14,40,12,16,12,52,6,28,10,50,1
8,22,8,62,22,16,6,16,2,62,22,20,4,20,6,22,8,22,16,1
7,8,22,20,74,8,14,4,14,20,74,2,18,10,18,6,22,12,22,1
9,6,10,10,24,6,10,8,10,10,24,8,10,8,12,6,10,24,24,1
8,10,6,52,12,8,2,10,8,52,12,8,8,8,4,10,6,10,14,1
8,30,8,62,14,30,6,30,6,62,14,30,6,30,8,30,6,30,18,1
8,10,6,14,20,4,8,8,8,14,20,16,12,8,10,10,6,14,14,1
7,8,28,16,74,12,16,14,16,16,74,12,18,12,20,4,28,24,28,1
7,4,14,20,26,6,20,4,16,20,26,8,10,6,20,4,14,16,26,1
7,22,2,22,20,4,6,38,4,22,20,18,8,6,18,22,2,26,12,1
8,8,12,22,32,6,8,4,10,22,32,4,10,6,18,8,12,20,24,1
8,8,6,18,22,6,2,6,10,18,22,6,8,12,2,6,6,14,14,1
7,12,8,20,24,12,4,6,6,20,24,6,10,12,4,12,8,38,14,1
8,4,14,10,26,4,12,10,12,10,26,8,12,6,12,4,14,14,42,1
8,8,14,12,62,2,14,4,14,12,62,6,14,2,14,4,14,22,14,1
8,4,6,20,14,2,4,2,4,20,14,6,4,10,6,2,6,14,18,1
7,26,10,42,20,26,8,24,8,42,20,24,8,42,10,26,8,28,24,1
6,4,54,30,42,16,24,6,42,30,42,6,42,12,26,4,40,14,54,1
8,4,10,16,52,8,8,6,8,16,52,2,10,14,10,4,10,14,10,1
7,6,30,14,52,2,30,4,30,14,52,2,30,2,30,2,30,18,30,1
7,72,6,74,16,60,6,72,8,74,16,72,10,72,6,72,6,72,20,1
7,18,6,26,12,10,10,34,12,26,12,50,14,10,10,16,6,26,12,1
8,8,8,20,22,14,6,8,6,20,22,8,10,62,10,8,8,12,12,1
7,28,6,62,18,28,6,28,6,62,18,28,4,28,2,28,4,28,16,1
7,8,22,26,62,8,22,6,22,26,62,8,22,6,22,8,22,18,22,1
7,6,26,20,84,10,18,8,16,20,84,4,16,14,20,6,26,12,26,1
7,22,8,30,22,22,6,32,6,30,22,32,8,22,6,22,8,22,14,1
9,8,8,26,22,4,2,14,4,26,22,10,6,6,14,8,4,24,12,1
6,4,26,14,28,4,24,2,40,14,28,2,34,8,26,4,24,14,28,1
8,10,8,20,22,6,6,6,6,20,22,14,8,6,8,8,8,16,18,1
7,10,14,22,18,6,12,6,10,22,18,6,8,14,14,10,14,20,18,1
8,8,14,22,52,8,10,8,10,22,52,10,10,10,10,8,14,24,14,1
7,22,8,30,26,14,8,22,10,30,26,30,6,14,8,22,8,24,16,1
7,24,8,62,14,16,10,14,8,62,14,14,4,14,6,24,4,24,18,1
6,34,8,32,14,20,4,10,14,32,14,8,18,46,6,24,8,46,18,1
7,6,34,12,60,4,12,2,14,12,60,2,22,4,24,2,34,18,62,1
8,6,6,12,10,4,10,6,6,12,10,6,6,4,10,6,6,20,26,1
7,42,2,20,10,12,6,50,4,20,10,84,2,12,18,20,2,42,12,1
7,4,20,10,74,4,6,4,8,10,74,4,6,4,8,4,20,10,20,1
8,12,8,20,18,4,2,14,2,20,18,8,6,4,6,12,8,34,22,1
9,8,4,14,8,12,2,8,4,14,8,6,2,10,6,8,0,26,16,1
8,4,18,14,20,14,20,4,6,14,20,6,12,12,68,4,16,20,24,1
7,4,44,14,44,6,58,6,60,14,44,6,60,6,58,4,44,16,60,1
9,8,2,14,10,8,6,2,4,14,10,6,2,10,18,8,2,30,18,1
7,4,20,22,52,0,18,8,18,22,52,12,18,2,20,4,20,12,20,1
7,10,10,24,28,8,10,10,12,24,28,10,18,10,10,10,10,18,20,1
7,10,8,30,12,2,2,6,8,30,12,12,4,8,6,8,4,18,10,1
6,6,38,22,32,10,30,4,12,22,32,4,14,2,46,6,30,10,38,1
6,26,6,20,18,20,6,12,14,20,18,16,16,46,8,16,6,26,14,1
6,10,22,42,22,8,14,6,56,42,22,4,54,6,22,10,22,18,38,1
8,8,32,12,62,6,24,8,24,12,62,8,26,6,32,6,32,14,32,1
7,36,2,22,10,14,2,52,4,22,10,60,6,22,6,22,2,38,12,1
8,4,26,14,62,6,24,6,26,14,62,6,24,2,26,4,26,16,26,1
9,6,4,12,10,8,6,6,4,12,10,6,4,8,14,4,4,12,16,1
9,8,10,18,14,12,4,10,2,18,14,12,2,18,2,8,4,18,26,1
8,10,12,22,30,6,8,6,10,22,30,6,28,12,12,10,12,26,18,1
8,6,6,18,30,6,6,4,12,18,30,4,10,6,18,6,6,22,14,1
7,8,44,14,72,4,10,2,50,14,72,6,50,4,10,4,44,18,44,1
7,8,18,16,74,8,14,12,16,16,74,8,16,8,16,8,18,12,18,1
7,8,18,20,52,2,14,12,14,20,52,12,14,2,14,8,18,12,18,1
7,16,8,12,30,14,8,6,10,12,30,8,6,28,2,12,8,22,22,1
9,4,10,14,26,6,8,8,6,14,26,6,6,16,8,4,10,16,16,1
8,8,28,22,62,12,26,4,18,22,62,4,20,10,22,8,28,26,28,1
7,8,30,30,22,6,14,8,28,30,22,8,44,10,14,8,22,12,30,1
9,6,10,12,22,0,6,8,10,12,22,8,12,2,8,4,10,24,22,1
8,4,12,12,40,2,6,4,6,12,40,6,6,10,6,4,12,10,24,1
6,6,52,30,42,4,10,12,68,30,42,4,58,6,14,6,38,16,52,1
7,2,24,16,52,2,24,8,24,16,52,6,24,2,24,2,24,14,24,1
7,8,20,14,62,8,14,6,14,14,62,4,14,8,14,6,20,16,20,1
8,6,4,18,14,4,6,6,4,18,14,4,2,6,12,6,4,26,34,1
8,30,8,62,22,12,6,10,16,62,22,16,12,14,6,30,8,30,14,1
7,32,6,30,20,22,6,38,8,30,20,32,6,22,16,30,2,32,16,1
7,30,8,30,14,44,4,22,4,30,14,22,8,58,10,30,4,30,18,1
7,10,10,16,32,10,18,22,12,16,32,18,8,10,16,10,10,32,10,1
7,10,12,20,28,2,0,4,16,20,28,2,12,2,0,4,8,16,26,1
7,2,12,14,52,4,10,4,12,14,52,4,12,6,12,2,12,12,12,1
7,12,8,18,26,6,6,24,6,18,26,48,8,8,10,12,6,14,22,1
9,8,6,14,12,12,4,4,4,14,12,14,4,20,10,4,6,14,12,1
7,28,8,62,20,28,14,28,20,62,20,28,12,28,16,28,8,28,14,1
7,10,18,22,60,6,26,6,6,22,60,8,10,8,26,10,18,18,18,1
10,6,2,14,18,6,0,6,0,14,18,8,6,4,4,6,2,22,10,1
7,8,10,26,22,8,12,8,12,26,22,8,12,10,14,8,10,20,10,1
8,18,8,20,32,14,2,12,4,20,32,12,4,34,4,18,8,20,22,1
7,18,8,14,14,26,6,8,6,14,14,8,6,40,8,14,8,22,16,1
6,6,16,14,18,4,4,4,26,14,18,8,32,4,12,4,10,12,16,1
8,10,14,26,14,10,12,10,6,26,14,10,0,10,10,10,8,18,26,1
7,28,8,62,26,16,8,28,4,62,26,28,4,28,8,28,8,28,18,1
8,12,6,20,18,6,6,4,10,20,18,6,8,8,8,10,6,18,18,1
7,8,40,26,40,4,40,8,62,26,40,10,68,8,48,6,40,20,56,1
7,20,6,22,18,56,8,14,6,22,18,14,6,58,6,20,6,30,16,1
7,26,4,22,14,12,2,30,2,22,14,62,2,16,6,18,2,26,10,1
6,4,30,10,36,6,40,4,30,10,36,4,30,8,52,4,30,26,30,1
8,6,10,26,14,4,12,6,0,26,14,6,0,12,44,6,6,14,10,1
8,36,4,40,14,10,8,68,4,40,14,44,4,20,14,36,4,36,14,1
7,6,14,26,22,6,22,6,2,26,22,6,6,10,54,6,14,22,18,1
7,4,22,20,22,12,8,4,36,20,22,2,20,20,8,2,22,16,22,1
7,8,12,12,8,8,4,6,52,12,8,8,16,10,10,6,8,18,12,1
7,12,6,10,18,6,6,14,6,10,18,18,6,4,6,8,6,16,14,1
7,6,54,10,126,2,20,6,26,10,126,4,36,6,34,6,54,14,54,1
8,4,20,12,20,4,8,8,20,12,20,4,20,6,16,4,20,24,50,1
7,6,14,8,52,8,14,6,14,8,52,10,14,12,14,6,14,14,14,1
8,8,10,16,52,18,6,6,8,16,52,8,8,24,8,8,10,18,10,1
7,12,8,18,42,2,8,22,4,18,42,34,8,2,8,12,8,12,18,1
7,30,2,30,30,30,6,40,4,30,30,52,4,30,6,30,2,30,10,1
7,16,6,52,14,16,2,16,12,52,14,16,2,16,0,16,6,16,14,1
7,10,12,22,30,4,6,2,22,22,30,0,36,4,12,6,12,20,26,1
7,8,22,22,22,4,36,2,10,22,22,2,10,6,42,8,22,12,26,1
8,10,12,22,20,10,6,10,8,22,20,10,2,10,12,10,12,26,18,1
8,34,4,74,12,30,4,24,4,74,12,40,6,34,4,34,4,34,10,1
9,8,6,20,6,14,6,4,6,20,6,4,10,10,6,8,6,12,24,1
7,14,8,10,26,6,6,22,10,10,26,26,8,4,6,8,8,16,14,1
7,22,8,62,20,10,6,10,12,62,20,8,18,14,4,22,8,22,18,1
7,32,2,74,12,12,4,16,8,74,12,12,6,14,4,32,2,32,12,1
7,60,6,74,24,42,2,48,2,74,24,50,6,50,4,60,6,60,12,1
7,10,10,16,26,10,8,10,4,16,26,12,4,10,8,10,10,14,12,1
6,8,18,22,24,6,18,10,38,22,24,8,54,8,26,8,18,14,32,1
7,8,14,12,16,6,10,14,10,12,16,6,10,4,6,6,14,20,42,1
7,16,10,12,16,10,10,8,6,12,16,8,6,20,6,10,6,40,26,1
7,14,8,18,30,8,2,50,10,18,30,38,4,8,4,14,4,14,18,1
7,26,8,26,22,54,8,30,16,26,22,34,16,60,12,26,8,38,16,1
7,32,6,62,14,24,6,24,8,62,14,26,8,26,12,32,6,32,16,1
7,16,4,16,10,42,2,16,2,16,10,12,2,54,2,14,4,18,12,1
7,32,8,22,22,20,10,10,8,22,22,8,10,22,10,22,8,32,12,1
7,6,40,14,40,8,40,12,56,14,40,12,70,8,48,6,40,12,66,1
6,4,56,18,42,8,42,12,20,18,42,10,18,8,44,4,42,20,56,1
7,20,6,26,22,8,4,40,8,26,22,28,6,8,10,20,6,20,10,1
7,10,8,42,12,10,4,6,4,42,12,2,6,4,6,10,4,30,16,1
6,6,48,20,42,14,18,8,46,20,42,8,38,10,20,6,34,16,48,1
8,8,24,8,40,4,6,2,14,8,40,0,40,10,10,2,22,30,30,1
6,8,62,22,62,8,62,14,62,22,62,6,62,6,62,8,62,14,62,1
7,16,6,30,16,6,4,52,6,30,16,60,2,20,0,16,6,30,14,1
8,6,28,12,72,6,10,2,10,12,72,6,30,14,26,4,28,20,48,1
6,6,38,14,42,12,18,8,38,14,42,6,38,14,20,4,28,16,46,1
7,42,8,42,28,50,8,22,8,42,28,22,10,56,8,42,8,42,22,1
6,8,24,20,22,2,20,8,6,20,22,6,14,4,52,6,20,16,24,1
6,8,50,20,42,8,42,6,20,20,42,10,22,8,44,8,38,10,50,1
6,26,6,52,12,26,4,26,0,52,12,26,6,26,8,26,2,26,14,1
7,20,4,16,6,18,4,34,4,16,6,34,2,24,12,16,2,26,10,1
6,8,32,12,42,10,40,6,22,12,42,2,22,12,64,8,32,14,44,1
6,4,30,12,52,2,16,8,14,12,52,8,18,2,18,4,30,14,30,1
7,8,60,22,60,10,60,6,62,22,60,10,60,12,60,8,60,18,60,1
7,26,8,62,16,16,4,18,12,62,16,24,14,26,8,26,8,26,22,1
7,20,8,52,22,6,12,6,10,52,22,8,10,6,10,20,8,20,16,1
7,6,12,22,10,8,4,2,36,22,10,4,22,12,4,6,6,10,12,1
7,18,10,18,26,14,6,16,8,18,26,14,10,14,6,18,10,24,22,1
6,38,4,32,18,30,8,8,6,32,18,18,4,62,14,28,4,50,8,1
7,6,28,22,26,8,24,6,28,22,26,2,30,6,24,6,26,10,30,1
7,18,2,22,10,8,2,38,8,22,10,58,6,14,6,18,2,24,8,1
6,28,4,52,22,12,8,12,8,52,22,18,8,20,8,28,4,28,14,1
6,8,24,24,52,2,24,18,22,24,52,12,26,8,26,8,24,16,24,1
7,6,60,14,60,6,60,2,42,14,60,2,42,12,62,6,60,14,60,1
7,32,6,40,12,16,6,26,10,40,12,38,10,10,14,28,6,42,22,1
9,6,6,12,14,4,2,4,2,12,14,2,6,8,4,4,4,12,18,1
7,40,4,40,20,12,6,20,4,40,20,18,2,20,8,40,4,70,8,1
8,10,12,10,12,4,6,10,18,10,12,10,12,6,14,6,12,22,40,1
8,10,6,8,26,2,6,44,8,8,26,54,12,6,8,8,6,14,18,1
8,10,2,10,14,2,4,38,2,10,14,26,2,2,8,8,2,10,8,1
7,44,4,44,14,44,2,62,2,44,14,60,2,48,4,44,2,60,12,1
6,6,20,22,24,4,8,6,46,22,24,8,18,6,14,6,20,8,22,1
